Tiempo,Neutral,Felicidad,Tristeza,Enojo,Sorpresa,Miedo,Asco,Desprecio,Valencia,Activación,Frec Cardíaca,Sujeto
00:02:04.560000,0.5453179,0.03600943,0.1251087,0.04704277,0.000501573,0.08448504,0.06832128,0.0,-0.08909923,0.3403778,50.0,Sujeto1
00:02:04.600000,0.5634869,0.03194295,0.1109804,0.04173032,0.000444931,0.07664432,0.06225427,0.0,-0.07903742,0.3387918,50.0,Sujeto1
00:02:04.640000,0.5800478,0.02833569,0.09844756,0.03701779,0.000394686,0.06956837,0.0567152,0.0,-0.07011187,0.3369454,50.0,Sujeto1
00:02:04.680000,0.59457,0.02513579,0.08733006,0.03283744,0.000350115,0.06319193,0.05183231,0.0,-0.06219427,0.3351363,50.0,Sujeto1
00:02:04.720000,0.6075599,0.02229725,0.07746804,0.02912917,0.000310577,0.05760047,0.04722345,0.0,-0.05517078,0.3333638,50.0,Sujeto1
00:02:04.760000,0.6208524,0.01977927,0.06871971,0.02583966,0.000275504,0.0526057,0.04283467,0.0,-0.04894045,0.3316272,50.0,Sujeto1
00:02:04.800000,0.6340325,0.01754563,0.06095932,0.02292164,0.000244392,0.04838086,0.03872133,0.0,-0.04341369,0.3299256,50.0,Sujeto1
00:02:04.840000,0.6480098,0.01556424,0.0540753,0.02033314,0.000216793,0.04474657,0.0348491,0.0,-0.03851106,0.3282585,50.0,Sujeto1
00:02:04.880000,0.6629947,0.0138066,0.04796868,0.01803696,0.000192311,0.04184817,0.03120445,0.0,-0.03416208,0.3266251,50.0,Sujeto1
00:02:04.920000,0.6792209,0.01224744,0.04255166,0.01600008,0.000170594,0.03972052,0.02776823,0.0,-0.03030422,0.3250248,50.0,Sujeto1
00:02:04.960000,0.6974367,0.01086436,0.03774638,0.01419322,0.000151329,0.0374747,0.02463241,0.0,-0.02688202,0.3234568,50.0,Sujeto1
00:02:05,0.7170167,0.009637468,0.03348375,0.0125904,0.000369347,0.03464094,0.02185072,0.01083715,-0.02500347,0.3219205,50.0,Sujeto1
00:02:05.040000,0.7349268,0.008549127,0.02970249,0.01116859,0.001767691,0.0314476,0.01938316,0.009613327,-0.02289847,0.3204153,50.0,Sujeto1
