Tiempo,Neutral,Felicidad,Tristeza,Enojo,Sorpresa,Miedo,Asco,Desprecio,Valencia,Activación,Frec Cardíaca,Sujeto
00:00:00.320000,0.7732944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04717738,63.0,Sujeto2
00:00:00.360000,0.771414,0.0,0.000146255,0.004130661,0.002681772,0.0,0.0,0.001289841,-0.004130661,0.04717738,63.0,Sujeto2
00:00:00.400000,0.7697696,0.0,0.001022129,0.006612136,0.004382546,0.0,0.00018412,0.001144182,-0.006612136,0.0467395,63.0,Sujeto2
00:00:00.440000,0.7669828,0.0,0.001732203,0.009135732,0.005926086,0.0,0.000321577,0.001948573,-0.009135732,0.04610728,63.0,Sujeto2
00:00:00.480000,0.7640737,0.0,0.00197237,0.01117068,0.007661256,0.0,0.000438455,0.005494649,-0.01117068,0.04529451,63.0,Sujeto2
00:00:00.520000,0.7613341,0.0,0.001749634,0.01270196,0.009377939,0.0,0.000538177,0.005859158,-0.01270196,0.04461288,63.0,Sujeto2
00:00:00.560000,0.7596895,0.0,0.001790714,0.01335189,0.01039607,0.0,0.000579446,0.00678926,-0.01335189,0.0439423,63.0,Sujeto2
00:00:00.600000,0.7589847,0.0,0.001768121,0.01380501,0.01035608,0.0,0.000596372,0.006022561,-0.01380501,0.04348483,63.0,Sujeto2
00:00:00.640000,0.7596428,0.0,0.002714573,0.01224604,0.009702742,0.0,0.000592751,0.005999693,-0.01224604,0.0428376,63.0,Sujeto2
00:00:00.680000,0.761278,0.0,0.00405791,0.01086311,0.008607029,0.0,0.000582974,0.005322159,-0.01086311,0.04201409,63.0,Sujeto2
00:00:00.720000,0.7637126,0.0,0.005494125,0.009636363,0.007635053,5.286e-06,0.000556183,0.004721137,-0.009636363,0.04116433,63.0,Sujeto2
00:00:00.760000,0.7671502,0.0,0.006654934,0.008548146,0.006822424,8.897e-06,0.000523987,0.004187988,-0.008548146,0.04045422,63.0,Sujeto2
00:00:00.800000,0.7715348,0.0,0.007660052,0.00758282,0.006413619,1.1084e-05,0.000475432,0.003715046,-0.007660052,0.04000555,63.0,Sujeto2
00:00:00.840000,0.7751894,0.0,0.01048172,0.006726506,0.006266281,1.2198e-05,0.000423738,0.003295513,-0.01048172,0.03936988,63.0,Sujeto2
00:00:00.880000,0.7791452,0.0,0.01362605,0.005966894,0.006477056,1.8683e-05,0.000375886,0.002923357,-0.01362605,0.0385736,63.0,Sujeto2
00:00:00.920000,0.7830763,0.0,0.01763362,0.005293063,0.006724394,3.4653e-05,0.000333438,0.002593228,-0.01763362,0.03779342,63.0,Sujeto2
00:00:00.960000,0.7875632,0.0,0.02120637,0.004695327,0.007270296,4.2624e-05,0.000295784,0.002300379,-0.02120637,0.03702902,63.0,Sujeto2
