Tiempo,Neutral,Felicidad,Tristeza,Enojo,Sorpresa,Miedo,Asco,Desprecio,Valencia,Activación,Frec Cardíaca,Sujeto
00:00:00.120000,0.528888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679974,59.0,Sujeto3
00:00:00.160000,0.5146657,0.003760296,0.0,0.000233889,0.02873005,0.0,0.001155288,0.0,0.002605008,0.9679974,59.0,Sujeto3
00:00:00.200000,0.5074546,0.005851811,0.0,0.000323109,0.04362306,0.0,0.001622915,0.0,0.004228896,0.9670419,59.0,Sujeto3
00:00:00.240000,0.5056307,0.006335213,0.0,0.000286621,0.04800246,0.0,0.001605704,0.0,0.004729509,0.965321,59.0,Sujeto3
00:00:00.280000,0.5086277,0.005961482,0.0,0.000262923,0.04300657,0.0,0.001424375,0.0,0.004537107,0.9628875,59.0,Sujeto3
00:00:00.320000,0.5103165,0.007233213,0.0,0.000253958,0.03814992,0.0,0.001263523,0.005107349,0.00596969,0.9597912,59.0,Sujeto3
00:00:00.400000,0.5058242,0.01581964,0.001471405,0.000199839,0.05295353,0.004613787,0.004363389,0.009960146,0.01120585,0.952815,59.0,Sujeto3
00:00:00.440000,0.5095287,0.01525172,0.001675147,0.000401055,0.04697359,0.00409276,0.003870639,0.02350534,0.01115896,0.9488023,59.0,Sujeto3
00:00:00.560000,0.4270431,0.1804558,0.002301075,0.002238732,0.03278914,0.008240378,0.007132261,0.01640752,0.1722154,0.9365262,59.0,Sujeto3
00:00:00.600000,0.4271223,0.1834067,0.00209503,0.001985916,0.02908633,0.007309808,0.006326828,0.01455465,0.1760969,0.9321043,59.0,Sujeto3
00:00:00.640000,0.4269281,0.186196,0.001885374,0.001761651,0.02580166,0.006484325,0.005612351,0.01291102,0.1797117,0.9271783,59.0,Sujeto3
00:00:00.680000,0.4255199,0.1911736,0.001730789,0.001562711,0.02288793,0.005752062,0.004978558,0.011453,0.1854215,0.9217865,59.0,Sujeto3
00:00:00.720000,0.4231817,0.1979598,0.001583765,0.001386237,0.02030324,0.005102493,0.004416339,0.01015963,0.1928573,0.9159651,59.0,Sujeto3
00:00:00.760000,0.4191976,0.2069651,0.001416418,0.001229691,0.01801043,0.004526278,0.00391761,0.009012327,0.2024388,0.9097485,59.0,Sujeto3
00:00:00.800000,0.4137231,0.2181491,0.00126753,0.001090825,0.01597655,0.004015134,0.003475201,0.007994581,0.214134,0.9034889,59.0,Sujeto3
00:00:00.840000,0.4057126,0.2336988,0.00112439,0.00096764,0.01417234,0.003561712,0.003082753,0.007091768,0.2301371,0.8973127,59.0,Sujeto3
00:00:00.880000,0.3967145,0.2507164,0.000997415,0.000858366,0.01257189,0.003159495,0.002734624,0.006290908,0.2475569,0.8912198,60.0,Sujeto3
00:00:00.920000,0.3864764,0.2697981,0.000884779,0.000761432,0.01115217,0.002802699,0.002425808,0.005580487,0.2669954,0.8852105,60.0,Sujeto3
00:00:00.960000,0.3757974,0.2894817,0.000784862,0.000675445,0.009892774,0.002486195,0.002151866,0.004950293,0.2869955,0.8795375,60.0,Sujeto3
00:00:01,0.3646222,0.3099421,0.000696229,0.000599168,0.008775601,0.002205434,0.001908859,0.004391266,0.3077367,0.8742314,60.0,Sujeto3
00:00:01.040000,0.3534407,0.3303721,0.000617605,0.000531505,0.007784589,0.001956378,0.001693295,0.003895368,0.3284158,0.8692723,60.0,Sujeto3
00:00:01.080000,0.34209,0.3510979,0.00054786,0.000471484,0.00690549,0.001735448,0.001502075,0.003455471,0.3493625,0.8646413,60.0,Sujeto3
00:00:01.120000,0.331237,0.3710109,0.000485991,0.00041824,0.006125665,0.001539467,0.001332448,0.003065251,0.3694715,0.8605774,60.0,Sujeto3
00:00:01.160000,0.3203775,0.3910715,0.000431109,0.000371009,0.005433905,0.001365618,0.001181977,0.002719098,0.3897059,0.8570453,60.0,Sujeto3
00:00:01.200000,0.3090749,0.411978,0.000382425,0.000329111,0.004820264,0.001211401,0.001048499,0.002412035,0.4107666,0.8537529,60.0,Sujeto3
00:00:01.240000,0.2989463,0.4306613,0.000339238,0.000291945,0.004275921,0.0010746,0.000930094,0.002139649,0.4295866,0.8510665,60.0,Sujeto3
00:00:01.280000,0.2880906,0.4508962,0.000300929,0.000258977,0.003793049,0.000953247,0.00082506,0.001898022,0.4499429,0.8488249,60.0,Sujeto3
00:00:01.320000,0.2764662,0.4727115,0.000266946,0.000229731,0.003364707,0.000845599,0.000731887,0.001683682,0.4718659,0.8471234,60.0,Sujeto3
00:00:01.360000,0.264327,0.4957868,0.0002368,0.000203788,0.002984737,0.000750107,0.000649237,0.001493547,0.4950367,0.8459263,60.0,Sujeto3
00:00:01.400000,0.2533399,0.5166354,0.000210059,0.000180774,0.002647676,0.000665399,0.00057592,0.001324883,0.51597,0.8451989,60.0,Sujeto3
00:00:01.440000,0.2419464,0.5384447,0.000186337,0.00016036,0.002348679,0.000590257,0.000510882,0.001175267,0.5378544,0.8447856,60.0,Sujeto3
00:00:01.480000,0.2317981,0.5578818,0.000165294,0.000142251,0.002083447,0.0005236,0.000453189,0.001042546,0.5573581,0.8446647,60.0,Sujeto3
00:00:01.520000,0.2213991,0.5777972,0.000146628,0.000126187,0.001848167,0.000464471,0.000402011,0.000924813,0.5773327,0.8446647,60.0,Sujeto3
00:00:01.560000,0.2116325,0.5964785,0.00013007,0.000111937,0.001639457,0.000412019,0.000356613,0.000820376,0.5960664,0.8495076,60.0,Sujeto3
00:00:01.600000,0.2013819,0.6162635,0.000115381,9.9296e-05,0.001454316,0.00036549,0.000316341,0.000727732,0.615898,0.8560725,60.0,Sujeto3
00:00:01.639000,0.1908002,0.636879,0.000102351,8.8083e-05,0.001290083,0.000324216,0.000280618,0.000645551,0.6365548,0.8652729,60.0,Sujeto3
00:00:01.680000,0.1811589,0.6555337,9.0793e-05,7.8136e-05,0.001144396,0.000287603,0.000248928,0.00057265,0.6552461,0.8738713,60.0,Sujeto3
00:00:01.720000,0.1725529,0.6719817,8.054e-05,6.9312e-05,0.001015162,0.000255125,0.000220817,0.000507982,0.6717266,0.8825719,60.0,Sujeto3
00:00:01.760000,0.1652595,0.6857238,7.1445e-05,6.1485e-05,0.000900521,0.000226314,0.000195881,0.000450616,0.6854975,0.8912325,60.0,Sujeto3
00:00:01.800000,0.1594394,0.6971877,6.3376e-05,5.4541e-05,0.000798827,0.000200757,0.00017376,0.000399729,0.696987,0.8997507,60.0,Sujeto3
00:00:01.840000,0.1547177,0.7062376,5.6219e-05,4.8382e-05,0.000708617,0.000178086,0.000154138,0.000354588,0.7060595,0.9080537,60.0,Sujeto3
00:00:01.880000,0.1510063,0.713325,4.9871e-05,4.2918e-05,0.000628594,0.000157975,0.000136731,0.000314545,0.713167,0.9130137,60.0,Sujeto3
00:00:01.920000,0.1490861,0.7172539,4.4239e-05,3.8072e-05,0.000557608,0.000140135,0.00012129,0.000279024,0.7171137,0.9154833,60.0,Sujeto3
00:00:01.960000,0.1480393,0.7193716,3.9243e-05,3.3772e-05,0.000494639,0.00012431,0.000107593,0.000247515,0.7192473,0.9191959,60.0,Sujeto3
00:00:02,0.1482008,0.7191142,3.4811e-05,2.9958e-05,0.00043878,0.000110272,9.5443e-05,0.000219563,0.7190039,0.9206738,60.0,Sujeto3
00:00:02.040000,0.1488818,0.7178013,3.088e-05,2.6575e-05,0.000389229,9.7819e-05,8.4665e-05,0.000194768,0.7177035,0.9206738,60.0,Sujeto3
00:00:02.080000,0.1503014,0.7149774,2.7393e-05,2.3574e-05,0.000345274,8.6772e-05,7.5104e-05,0.000172774,0.7148906,0.9206738,60.0,Sujeto3
00:00:02.120000,0.1523227,0.710852,0.000183689,2.0912e-05,0.000306283,7.6973e-05,6.6622e-05,0.000153263,0.7106683,0.924086,60.0,Sujeto3
00:00:02.160000,0.1549541,0.7053826,0.000513606,1.855e-05,0.000271695,6.8281e-05,5.9099e-05,0.000135955,0.704869,0.9283149,61.0,Sujeto3
00:00:02.200000,0.155611,0.7037745,0.000706267,1.6456e-05,0.000241013,6.057e-05,5.2425e-05,0.000120602,0.7030682,0.9299925,61.0,Sujeto3
00:00:02.240000,0.1570922,0.7004818,0.000842404,1.4597e-05,0.000213796,5.373e-05,4.6505e-05,0.000106982,0.6996394,0.9299925,61.0,Sujeto3
00:00:02.279000,0.1586746,0.6969674,0.000942389,1.2949e-05,0.000189653,4.7662e-05,4.1253e-05,9.4901e-05,0.696025,0.9298584,61.0,Sujeto3
00:00:02.320000,0.160646,0.6926565,0.001504514,1.1487e-05,0.000168235,4.228e-05,3.6594e-05,8.4184e-05,0.6911519,0.9298584,61.0,Sujeto3
00:00:02.360000,0.1627589,0.688019,0.002065697,1.0189e-05,0.000149237,3.7505e-05,3.2462e-05,7.4677e-05,0.6859533,0.9316403,61.0,Sujeto3
00:00:02.400000,0.1648789,0.6833513,0.002752389,9.039e-06,0.000132384,3.327e-05,2.8796e-05,6.6244e-05,0.680599,0.9316403,61.0,Sujeto3
00:00:02.440000,0.1674955,0.6776433,0.003332861,8.018e-06,0.000117434,2.9513e-05,2.5544e-05,5.8763e-05,0.6743104,0.9316403,61.0,Sujeto3
00:00:02.480000,0.1711795,0.669777,0.00376671,7.113e-06,0.000104172,2.618e-05,2.2659e-05,5.2127e-05,0.6660103,0.9316403,61.0,Sujeto3
00:00:02.520000,0.1749942,0.661657,0.004045243,6.309e-06,9.2408e-05,2.3224e-05,2.0101e-05,4.6241e-05,0.6576118,0.9315011,61.0,Sujeto3
00:00:02.560000,0.1789701,0.6532856,0.004256001,5.597e-06,8.1973e-05,2.0601e-05,1.7831e-05,4.1019e-05,0.6490296,0.9315011,61.0,Sujeto3
00:00:02.600000,0.1835623,0.643627,0.004396422,4.965e-06,7.2716e-05,1.8275e-05,1.5817e-05,3.6387e-05,0.6392305,0.9330474,61.0,Sujeto3
00:00:02.640000,0.1887232,0.6327701,0.00439553,4.404e-06,6.4504e-05,1.6211e-05,1.4031e-05,3.2278e-05,0.6283745,0.9343293,61.0,Sujeto3
00:00:02.680000,0.1937304,0.6222506,0.004284382,3.907e-06,5.722e-05,1.438e-05,1.2446e-05,2.8633e-05,0.6179662,0.9350296,61.0,Sujeto3
00:00:02.720000,0.1982519,0.6126659,0.004067348,3.466e-06,5.0758e-05,1.2756e-05,1.1041e-05,2.5399e-05,0.6085985,0.9352891,61.0,Sujeto3
00:00:02.759000,0.2033441,0.6021007,0.003800557,3.074e-06,4.5026e-05,1.1316e-05,9.794e-06,2.2531e-05,0.5983002,0.9352891,61.0,Sujeto3
00:00:02.800000,0.2094217,0.5896543,0.003518218,2.727e-06,3.9941e-05,1.0038e-05,8.688e-06,1.9986e-05,0.586136,0.9352602,61.0,Sujeto3
00:00:02.840000,0.2168631,0.5745311,0.003456328,2.419e-06,3.5431e-05,8.904e-06,7.707e-06,1.7729e-05,0.5710748,0.9352602,61.0,Sujeto3
00:00:02.880000,0.2249405,0.5582024,0.003523444,2.146e-06,3.143e-05,7.899e-06,6.837e-06,1.5727e-05,0.554679,0.9360386,61.0,Sujeto3
00:00:02.920000,0.2344826,0.53909,0.003978346,1.904e-06,2.788e-05,7.007e-06,6.065e-06,1.3951e-05,0.5351117,0.9399274,61.0,Sujeto3
00:00:02.960000,0.2438078,0.5206416,0.00422666,1.689e-06,2.4732e-05,6.215e-06,5.38e-06,1.2376e-05,0.5164149,0.9399274,61.0,Sujeto3
00:00:03,0.2500857,0.5086208,0.004248145,1.498e-06,2.1939e-05,5.514e-06,4.772e-06,1.0978e-05,0.5043727,0.9396806,61.0,Sujeto3
00:00:03.040000,0.2544643,0.5005316,0.004107935,1.329e-06,1.9461e-05,4.891e-06,4.233e-06,9.738e-06,0.4964236,0.9396806,61.0,Sujeto3
00:00:03.080000,0.2568414,0.4962947,0.00383812,1.179e-06,1.7264e-05,4.339e-06,3.755e-06,8.639e-06,0.4924566,0.9396806,61.0,Sujeto3
00:00:03.120000,0.2578574,0.4947386,0.003482058,1.046e-06,1.5314e-05,3.849e-06,3.331e-06,7.663e-06,0.4912566,0.9396806,61.0,Sujeto3
00:00:03.160000,0.2574941,0.4959483,0.003088835,9.28e-07,1.3585e-05,3.414e-06,2.955e-06,6.798e-06,0.4928595,0.9406237,61.0,Sujeto3
00:00:03.200000,0.2580905,0.4955178,0.002740019,8.23e-07,1.2051e-05,3.029e-06,2.621e-06,6.03e-06,0.4927778,0.9414896,61.0,Sujeto3
00:00:03.240000,0.2590236,0.4944284,0.002430594,7.3e-07,1.069e-05,2.686e-06,2.325e-06,5.349e-06,0.4919978,0.9414896,61.0,Sujeto3
00:00:03.279000,0.2608903,0.4913399,0.002160123,6.47e-07,9.483e-06,2.383e-06,0.000162504,4.745e-06,0.4891797,0.9413286,62.0,Sujeto3
00:00:03.320000,0.2633022,0.4872097,0.002080403,5.74e-07,8.412e-06,2.114e-06,0.000406702,4.209e-06,0.4851293,0.9411632,62.0,Sujeto3
00:00:03.360000,0.2650769,0.4849302,0.001897593,0.000118438,7.462e-06,1.875e-06,0.000642785,3.734e-06,0.4830326,0.9410114,62.0,Sujeto3
00:00:03.400000,0.2679119,0.480605,0.001840824,0.000294767,6.619e-06,1.663e-06,0.000905058,3.312e-06,0.4787642,0.9408714,62.0,Sujeto3
00:00:03.440000,0.2710189,0.4759783,0.001682111,0.000801317,5.872e-06,1.476e-06,0.001175961,2.938e-06,0.4742962,0.9408649,62.0,Sujeto3
00:00:03.480000,0.2738849,0.4716861,0.001492153,0.001506889,5.209e-06,1.309e-06,0.001523177,2.606e-06,0.4701629,0.9408649,62.0,Sujeto3
00:00:03.520000,0.2739883,0.4724554,0.001323647,0.002253577,4.62e-06,1.161e-06,0.001948947,2.312e-06,0.4702018,0.9414244,62.0,Sujeto3
00:00:03.560000,0.2748586,0.4716235,0.00117417,0.003015077,4.099e-06,1.03e-06,0.002365275,2.051e-06,0.4686084,0.9418145,62.0,Sujeto3
00:00:03.600000,0.2771886,0.4678068,0.001041573,0.003857717,3.636e-06,9.14e-07,0.002978113,1.819e-06,0.4639491,0.9420658,62.0,Sujeto3
00:00:03.640000,0.2788016,0.4651461,0.00092395,0.004322666,3.225e-06,8.11e-07,0.003427949,1.614e-06,0.4608234,0.9420658,62.0,Sujeto3
00:00:03.680000,0.2811394,0.4607983,0.00081961,0.004696594,2.861e-06,7.19e-07,0.003966921,1.432e-06,0.4561017,0.9420093,62.0,Sujeto3
00:00:03.720000,0.2827622,0.4576251,0.000727053,0.004910842,2.538e-06,6.38e-07,0.004294988,1.27e-06,0.4527142,0.9419311,62.0,Sujeto3
00:00:03.760000,0.2843476,0.4545198,0.000644949,0.005066586,2.251e-06,5.66e-07,0.004707376,1.127e-06,0.4494532,0.9418316,62.0,Sujeto3
00:00:03.800000,0.2853138,0.4524816,0.000572116,0.005128514,1.997e-06,5.02e-07,0.005236276,9.99e-07,0.4472453,0.9417115,62.0,Sujeto3
00:00:03.840000,0.2860737,0.4502692,0.000507508,0.005162383,1.772e-06,4.45e-07,0.005847182,8.86e-07,0.444422,0.941571,62.0,Sujeto3
00:00:03.880000,0.288347,0.4448621,0.000450196,0.004980351,1.571e-06,3.95e-07,0.006183117,7.86e-07,0.438679,0.9414107,62.0,Sujeto3
00:00:03.920000,0.2904723,0.4397296,0.000399356,0.00467532,1.394e-06,3.5e-07,0.006670703,6.98e-07,0.4330589,0.941231,62.0,Sujeto3
00:00:03.960000,0.2930171,0.4335749,0.000354258,0.004300439,1.237e-06,3.11e-07,0.006777473,6.19e-07,0.4267975,0.9410324,62.0,Sujeto3
00:00:04,0.2954889,0.4274671,0.000314252,0.003882302,1.097e-06,2.76e-07,0.007231764,5.49e-07,0.4202354,0.9408152,62.0,Sujeto3
00:00:04.040000,0.297208,0.4228008,0.000278764,0.0034625,9.73e-07,2.45e-07,0.007314851,4.87e-07,0.4154859,0.9405798,62.0,Sujeto3
00:00:04.080000,0.2975711,0.4208472,0.000247284,0.003071487,8.63e-07,2.17e-07,0.007203809,4.32e-07,0.4136434,0.9403267,63.0,Sujeto3
00:00:04.120000,0.2978969,0.4189881,0.000219358,0.002724629,7.66e-07,1.92e-07,0.006977577,3.83e-07,0.4120105,0.9400563,63.0,Sujeto3
00:00:04.160000,0.298234,0.4171609,0.000194587,0.002416942,6.79e-07,1.71e-07,0.006560844,3.4e-07,0.4106,0.9397689,63.0,Sujeto3
